name,free_returns,items_sold,price,status,shipping
"Mexican Robusta Coffee, Veracruz, Whole Bean Coffee, Medium Dark Ground Roasted",False,24,10005700,Brand New,0
6 LBS STARBUCKS Espresso Dark Roast Whole Bean Coffee 6-1lb bags,True,,4295,Brand New,0
Caffitaly Nespresso Compatible Coffee Capsules 120 Pods or Sampler Packs,True,113,29953795,Brand New,0
6 Bags Starbucks Caramel Flavored Ground Coffee - 7 oz. each ,True,,2995,Brand New,0
"Two Rivers Flavored K-Cups, Coffee Pods Variety Pack for Keurig K-Cup 40 Count",True,4282,1995,Brand New,0
2 lb 5 lb 10 lb BRAZIL BRASIL FRESH ROASTED SINGLE ORIGIN COFFEE BEANS - ARABICA,True,,19005199,Brand New,0
108 CT Italian Single Serve Coffee Cups for Keurig K-cup Brewers  ,False,,3935,Brand New,0
Bestpresso Coffee 96 Count Italian Variety Pack Coffee K-Cup - For Keurig 2.0,True,919,3199,Brand New,0
100% Kona Hawaiian Arabica Coffee Beans Medium Roasted 1 Or 2 Units 1 Pound Bag,True,297,22953995,Brand New,349
6 Pack For K-Cup Reusable Replacement Coffee Filter Holder Pod for Keurig,True,,829,Brand New,0
Starbucks Holiday Blend Medium Roast K Cups 88 Pods Re-Boxed BB 7/05/22 F/S,True,104,3100,Brand New,0
Maxwell House Medium Roast Original Roast Ground Coffee Club Pack (3 Pk 48 oz.),False,,1950,Brand New,1299
"Starbucks Organic Yukon Blend 1 Pound Bags, CASE OF 6, Medium, Whole, OCT/2021",True,,2498,Brand New,0
"Peet's Coffee Big Bang Medium Roast Ground Coffee, 18oz Bags, CASE OF 6, 08/2022",True,,3995,Brand New,0
6 Bags Starbucks Veranda Blend Blonde Roast Ground Coffee 7oz each,True,,2995,Brand New,0
Attibassi Nespresso Coffee Capsules 100 Pods or Sampler Pack 40 Pods,True,,3195,Brand New,0
Starbucks French Roast Dark Roast 12 Ounce Ground Coffee Lot of 6 NO PO BOX,False,0,3299,Brand New,0
96 Count Variety Pack Flavors Only (12 Flavored Blends) Single Serve K-Cup Pods,False,621,3399,Brand New,0
"Nespresso Capsules VertuoLine Intense Variety Pack, 40 Pods, EXP:3/2023",False,42,2250,Brand New,999
5 LB COLOMBIA COLOMBIAN EXCELSO UNROASTED GREEN COFFEE BEANS - ARABICA,True,,2999,Brand New,0
"Folgers Classic Roast Ground Coffee, 40.3-Ounce - Free Shipping",True,0,1799,Brand New,0
Starbucks Christmas Blend 2021 Rare Coffee Whole Bean 16oz Lot of 6 - 4/22,False,436,2999,Brand New,0
Maxwell House Medium Roast House Blend Coffee K-Cups (100 ct.) - Free Ship,True,0,3658,Brand New,0
"6 LBS Starbucks THANKSGIVING Blend Dark Roast Whole Bean, 6-1 Lb bags",True,,2995,Brand New,0
Maxwell House Original Roast Ground Coffee (48 oz.) Certified Kosher,False,81,1297,Brand New,300
"Two Rivers Flavored Coffee Pods for Keurig K-Cup Makers, Variety, 100 Count",True,,4495,Brand New,0
"Crazy Cups Flavored Coffee Single Serve for Keurig K Cups Brewer Variety Pack,20",True,5369,1299,Brand New,0
"Eight O'Clock Whole Bean Colombian Coffee, Medium Roast (40 oz.)",True,,1299,Brand New,0
Gran Caffe Garibaldi Nespresso Compatible Capsules 80 Capsules ,False,,2355,Brand New,0
Colombian Supremo Coffee Beans Green / Raw / Unroasted Whole Bean 5 Pounds,True,2209,3595,Brand New,349
"(80 Pods) Peet's Coffee Espresso Capsules Variety Pack Crema Scura, Nerissimo...",False,,3450,Brand New,0
Starbucks Medium Roast & Flavored Ground Coffee Holiday Variety 3 Pack BB 1/22,True,,1995,Brand New,0
"Kirkland Signature Coffee Organic Summit Medium Roast K-Cup Pod, 120-Count",False,,3900,Brand New,0
Maxwell House Medium Roast House Blend Coffee K-Cups (100 ct.) - Free Ship,False,0,3500,Brand New,0
2 lb 5 lb 10 lb COLOMBIA SUPREMO FRESH ROASTED COLOMBIAN COFFEE BEANS -  ARABICA,True,,18006399,Brand New,0
"100 LAVAZZA Espresso pods compatible w/ Nespresso, Coffee capsules FREE SHIPPING",True,,3299,Brand New,0
"Starbucks Fair Trade Italian, 5 LB Bag, Whole Bean, 03/08/2022",True,,2198,Brand New,0
*2 Pack*folgers Classic Roast Ground Coffee ( 43.5 Oz. Each ) Free Shipping.,True,0,3499,Brand New,0
100 % Jamaican Blue Mountain Coffee Beans Medium Roasted 12OZ Bag,True,607,1895,Brand New,349
Colombian Cauca Arabica Coffee Beans Medium Roasted 2 Units 1 Pound Bags,True,971,2995,Brand New,349
"2X Starbucks Holiday Blend Limited Edition Medium Roast Ground Coffee, 35 oz",False,0,2595,Brand New,0
"Tully's Coffee Hawaiian Blend, Keurig K-Cup Pod, Medium Roast, 24 Count",False,0,1499,Brand New,0
"Yuban Ground Coffee 48 oz, Traditional Medium Roast",True,0,1599,Brand New,0
"McCafe, Premium Roast Coffee, Keurig Single Serve K-Cup Pods, 32 Count",False,0,1799,Brand New,0
Bestpresso Coffee 96 Count Pods Costa Rican Dark Roast K-Cup - For Keurig 2.0,True,351,3199,Brand New,0
100% Hawaiian Kona - Whole Bean Coffee - ONE POUND Bag Fresh Roasted,False,2093,2395,Brand New,0
"Green Mountain Coffee Dark Magic, Keurig K-Cup Pod, Dark Roast, 96 Count",False,0,5299,Brand New,0
100% Kona Hawaiian Arabica Coffee Beans Medium Roasted 1 / 12 Bags 1 Pound Bags ,True,626,229515995,Brand New,349
100 % Jamaican Blue Mountain Coffee Beans Medium Roasted 1 or 2 Unit 1 Pound Bag,True,152,24954495,Brand New,349
Starbucks Holiday Blend Medium Roast Coffee 144 loose K-Cup,False,,4799,Brand New,0
Nespresso Capsules Original Ispirazione Variety 2Pack Coffee Pods 100 Exp6/30/22,False,42,5000,Brand New,0
"Starbucks Pike Place Coffee, Medium Roast, K-Cups - 72 count - Free Shipping",False,,4125,Brand New,0
"Dunkin' Donuts Original Blend Ground Coffee, Medium Roast, 45 oz.",False,,2348,Brand New,0
"Starbucks Med Roast 100% Arabica Coffee Variety Pack, 96 K-Cup PODS - BB 10/2022",False,,4999,Brand New,0
24 Pack Starbucks Golden Turmeric Medium Roast Ground Coffee 9 Oz Each BBD 8/20,False,,3699,Brand New,0
"Tully's Coffee French Roast Decaf, Keurig K-Cup Pod, Dark Roast, 48 Count",False,0,3099,Brand New,0
"Starbucks Holiday Blend Coffee - Medium Roast,  coffee pods 88 count.Exp 16jul22",False,50,3150,Brand New,0
2 Starbucks Medium Roast Ground Coffee Pike Place 18oz x 2 BB 2/24/22,False,,1989,Brand New,0
Green Mountain Coffee Breakfast Blend K-Cup Pods (100 ct.),False,0,4399,Brand New,0
"Kirkland Signature Pacific Bold K-Cups, Organic Dark Roast Coffee, 120 Count ",False,,4225,Brand New,0
NEW NESPRESSO ORIGINAL**COFFEE CAPSULES PODS ALL FLAVORS**FREE SHIPPING**,False,0,9991399,Brand New,0
Kahlua® Original Coffee,False,0,1499,Brand New,0
"Nespresso Capsules VertuoLine, Odacio, Dark Roast Coffee, 30 Count 4/23",False,38,3299,Brand New,0
"Maxwell House Original Roast Ground Coffee, 42.5 oz. Canister",False,0,1349,Brand New,0
5 lb PANAMA BOQUETE ROASTED COFFEE BEANS WHOLE BEAN - ARABICA - MEDIUM ROAST,True,,3000,Brand New,0
New ! Folgers Classic Roast Coffee K-Cups (100 ct.) Free Ship,True,0,4200,Brand New,0
Nespresso Vertuo Vertuoline Capsules  (30 Capsules),False,52,3800,Brand New,0
"Cafe Bustelo Espresso Style Coffee Dark Roast Arabica, Keurig K Cup Pods",True,162,11986198,Brand New,0
Starbucks Instant Coffee Italian Dark Roast Packets (Box of 50)  Exp:9/10/22,False,,1999,Brand New,0
Two Rivers Hot Chocolate Pods Variety Sampler Pack for Keurig K-Cup Makers 40 ct,True,,2398,Brand New,0
Yuban Traditional Roast Medium Roast Ground Coffee Club Pack 48 oz,False,68,1614,Brand New,0
Maxwell House Original Roast Ground Coffee (48 Oz.),False,0,1299,Brand New,0
"Nespresso Capsules VertuoLine, Double Espresso Scuro, 30 count pods",True,,3199,Brand New,0
"Peet's Coffee Espresso Nespresso Capsules Variety Pack, 80 Count ",False,,3495,Brand New,0
Wild Kopi Luwak Roasted Coffee Beans - Great Christmas Gift/Present  -Indonesian,False,,199934999,Brand New,0
6.375 lbs STARBUCKS PUMPKIN SPICE Ground Coffee Light Roast 6-17oz bags ,True,,3995,Brand New,0
"6 Bags Starbucks Ethiopia Whole Bean Medium Roast Coffee, 8.8 oz each",True,,2495,Brand New,0
Sumatra Coffee Beans Un-roasted Grade # 1 Green Coffee Current Corp 5 Pound ,True,1313,3595,Brand New,349
Starbucks Pike Place Medium Roast Bulk Ground Coffee 30Lbs READ DESCRIPTION,False,,2999,Brand New,8374
Yuban Traditional Roast Medium Roast Ground Coffee Club Pack 48 oz,False,68,1614,Brand New,0
Maxwell House Original Roast Ground Coffee (48 Oz.),False,0,1299,Brand New,0
"Tim Hortons Medium Roast Original Blend K-Cup Pod Premium Coffee, 100 Count ",False,0,4368,Brand New,0
STARBUCKS VIA INSTANT Medium Roast Coffee COLOMBIA 26 Packets ** 100% Arabica **,True,458,1899,Brand New,0
Bestpresso Coffee 96 Count Colombian Roast K-Cup Pods - Keurig 2.0 Compatible,True,140,3199,Brand New,0
Original Glazed™ Doughnut Coffee,False,0,1499,Brand New,0
"6 Bags Starbucks Colombia Blend Ground 100% Arabica Coffee, 12Oz View Info",False,,3995,Brand New,0
"Kirkland Signature Breakfast Blend, Organic Light Roast Coffee, QTY 90 K-Cup",False,0,2950,Brand New,0
300pcs Disposable Cups Coffee Filters Paper Pods Replacement For K-Cup Filter US,False,,1691,Brand New,0
"5 LBS Green Coffee - Nicaragua Jinotega - smooth, chocolaty, delicious!!",False,,3144,Brand New,0
"Mexican Robusta Coffee, Veracruz, Whole Bean Coffee, Medium Dark Ground Roasted",False,11,10005700,Brand New,0
"Organic Fairtrade Instant Coffee, 3.53 oz (100 g)",False,134,1465,Brand New,0
Starbucks VIA Instant Pike Place Coffee Med Roast  100 Loose Packets BB 10/23/22,True,,3750,Brand New,0
Starbucks Caffe Verona Ground Coffee 2 Large Packages Dark Roast,False,,2400,Brand New,0
Cafe Romano Capsules Single Cup Aluminum Coffee Pods Compatible with Nespresso,True,413,2349,Brand New,0
DEATH WISH COFFEE DARK ROAST GROUND 1LB,False,,1699,Brand New,0
Starbucks Pike Place Medium Roast Ground Coffee - 18 Oz. - BB 05/2022 - (6-Bags),False,,4999,Brand New,0
Kahlua® Original Coffee,False,0,1499,Brand New,0
"Folgers Classic Roast Ground Coffee, 40.3-Ounce (FREE SHIPPING)",False,,1556,Brand New,0
" Tim Hortons Original Blend Ground Coffee, 12 Oz",False,17,995,Brand New,0
NESPRESSO 50 capsules ISPIRAZIONE FIRENZE ARPEGGIO BB 1/31/22 ORIGINAL NESPRESSO,True,69,2550,Brand New,0
Starbucks Holiday Blend Medium Roast Coffee K-Cup Pods 72 Count - NEW,False,,3790,Brand New,0
"Green Mountain Coffee Half-Caff, Keurig K-Cup Pod, Medium Roast, 96 Count",False,0,5299,Brand New,0
DEATH WISH COFFEE MEDIUM ROAST GROUND 1LB,False,,1599,Brand New,0
STARBUCKS Caffe Verona Whole Bean Coffee 10 lbs Best By 2/2021 Dark Roast,True,,3999,Brand New,299
6 Bags Starbucks Caramel Flavored Ground Coffee - 7 oz. each ,True,,2995,Brand New,0
100% Jamaican Blue Mountain Arabica Coffee Beans Medium Roasted 1 to 12 Pounds,True,246,249515995,Brand New,349
"Maxwell House The Original Roast Instant Coffee, 8 oz Jar FREE SHIPING",False,0,727,Brand New,0
DEATH WISH COFFEE DARK ROAST WHOLE BEAN 1LB,False,,1599,Brand New,0
Peet's French Roast Ground Coffee 3 Packages Dark Roast,False,,2100,Brand New,0
