name,free_returns,items_sold,price,status,shipping
TARI Stainless Steel Bottle Wide Mouth Leakproof Flex Cap Insulated 18.5 Oz,True,78,899,Brand New,0
Ben Din Coffee Thermos - Smart Sports Water Bottle with Led Temperature Display,True,,1999,Brand New,0
Hydro Flask Water Stainless Steel Vacuum Water Bottle 32 Oz 40 Oz 64 Oz ,False,,24773804,Brand New,0
750ml Portable Sport Plastic Drinking Water Bottle with Card Storage,False,,1255,Brand New,615
64oz Motivational Water Bottle with Time Marker & Removable Straw BPA Free,False,235,998,Brand New,0
Half Gallon 64 OZ Motivational Water Bottle with Straw Time Marker BPA Free,False,,1299,Brand New,0
40OZ Hydro Flask Water Bottle w/ Straw Lid Stainless Steel Vacuum US HOT👍👍👍,True,74,2733,Brand New,0
"Nalgene 32 oz. Wide Mouth Tritan Water Bottle, Cadet - Amethyst - Cerulean",False,223,800,Brand New,0
128oz Motivational Water Bottle with Time Marker & Removable Straw BPA Free,False,193,648,Brand New,0
 20 OZ AQUASTEEL STAINLESS STEEL WATER BOTTLES PER BOTTLE,False,,595,Brand New,0
20/32OZ Hydro Flask Water Bottle Stainless steel Wide Mouth W/Straw Lid 2.0 New,True,,20332533,Brand New,0
"Hydro Flask 32oz Stainless Steel Water Bottle, with Straw Lid, 2.0 - New Design",True,,11993359,Brand New,0
Thermos 12 oz. Kid's Funtainer Vacuum Insulated Stainless Steel Water Bottle,True,0,1699,Brand New,0
Sports Water Bottle Lightweight Bottles For Outdoors Lockable Pop Open Lid 22 oz,True,,779,Brand New,0
Bike Cup Holder Cycling Beverage Water Bottle Cage Mount Drink Bicycle Handlebar,False,1227,789,Brand New,0
Water Bottle Time Marker 1L Extra Large Motivational Gym Sport Bottle With Straw,True,19,10991199,Brand New,0
Elite FLY Water Bottle BPA Free : BLACK/GREY 550 ml,True,156,999,Brand New,199
NEW With Tags Camelbak 24 oz Podium Water Bottle Black,False,73,1208,Brand New,0
"Hydro Flask Wide Mouth Straw Lid with 2 Straws, Black BPA-Free",False,,899,Brand New,0
Hydro Flask Water Bottle Standard Mouth Wide Mouth Leakproof Flex Cap 32oz,True,,269510164,Brand New,0
IRON °FLASK Carabiner Straw Lid for Wide Mouth Insulated Sports Water Bottles,True,,799,New (Other),0
Nalgene Tritan Wide Mouth 32 oz. Water Bottle,True,480,1299,Brand New,0
Motivational Water Bottle BPA Free 2.2L/64oz Jug with Straw and Time Tracker Gym,True,380,1599,Brand New,0
2 Packs Bike Water Bottle Cages Bicycle Lightweight Aluminum Alloy Bottle Holder,True,,889,Brand New,0
Cirkul 22oz Plastic Water Bottle Starter Kit with Blue Lid & 2 Flavor Cartridges,False,0,2899,Brand New,0
"Contigo Cortland Chill 2.0 AUTOSEAL 24oz Stainless Water Bottle, Frosted Rose",True,115,1436,New (Other),0
